name,category,price,stock,description
iPhone 14 Pro,Electronics,999.99,50,Latest iPhone with A16 Bionic chip
MacBook Pro M2,Electronics,1999.00,25,14-inch MacBook with M2 chip
Samsung Galaxy S23,Electronics,899.99,75,Android flagship phone
iPad Air,Electronics,599.00,60,10.9-inch iPad with M1 chip
AirPods Pro,Electronics,249.99,150,Wireless earbuds with ANC
Sony Headphones,Electronics,399.99,100,Noise cancelling headphones
Apple Watch,Electronics,399.00,80,Smartwatch with health tracking
Dell XPS 13,Electronics,1299.00,30,Premium ultrabook laptop
Logitech Mouse,Electronics,99.99,200,Ergonomic wireless mouse
LG Monitor,Electronics,699.99,40,4K UHD 27-inch display
Herman Miller Aeron,Furniture,1395.00,20,Gold standard ergonomic chair
IKEA Bekant Desk,Furniture,299.00,45,Adjustable standing desk
Steelcase Leap,Furniture,979.00,15,High-end task chair
FlexiSpot Desk,Furniture,549.00,35,Electric standing desk
ErgoChair Pro,Furniture,399.00,50,Budget ergonomic chair
IKEA Markus,Furniture,199.00,100,Classic office chair
Uplift Desk,Furniture,699.00,25,Premium standing desk
Branch Desk,Furniture,449.00,40,Solid wood standing desk
Gaming Chair,Furniture,499.00,60,Premium gaming chair
Office Chair,Furniture,349.00,70,Racing-style chair
